id,name,stars,link
7600409,shadowsocks/shadowsocks-windows,51554,https://github.com/shadowsocks/shadowsocks-windows
184456251,microsoft/PowerToys,49898,https://github.com/microsoft/PowerToys
49609581,PowerShell/PowerShell,24119,https://github.com/PowerShell/PowerShell
11620669,CodeHubApp/CodeHub,23153,https://github.com/CodeHubApp/CodeHub
17620347,dotnet/aspnetcore,20922,https://github.com/dotnet/aspnetcore
15315789,Wox-launcher/Wox,19553,https://github.com/Wox-launcher/Wox
199570071,2dust/v2rayN,17684,https://github.com/2dust/v2rayN
38380854,dnSpy/dnSpy,17308,https://github.com/dnSpy/dnSpy
70104825,dotnet-architecture/eShopOnContainers,16568,https://github.com/dotnet-architecture/eShopOnContainers
69662720,mxgmn/WaveFunctionCollapse,15759,https://github.com/mxgmn/WaveFunctionCollapse
13428264,ShareX/ShareX,15076,https://github.com/ShareX/ShareX
54086969,thangchung/awesome-dotnet-core,13982,https://github.com/thangchung/awesome-dotnet-core
29078997,dotnet/roslyn,13935,https://github.com/dotnet/roslyn
64713769,NickeManarin/ScreenToGif,13484,https://github.com/NickeManarin/ScreenToGif
1613345,StackExchange/Dapper,13304,https://github.com/StackExchange/Dapper
1327739,icsharpcode/ILSpy,11916,https://github.com/icsharpcode/ILSpy
14964475,AvaloniaUI/Avalonia,10560,https://github.com/AvaloniaUI/Avalonia
102904613,Unity-Technologies/ml-agents,10475,https://github.com/Unity-Technologies/ml-agents
30474266,MaterialDesignInXAML/MaterialDesignInXamlToolkit,10314,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit
16157746,dotnet/efcore,9909,https://github.com/dotnet/efcore
161012019,jellyfin/jellyfin,9500,https://github.com/jellyfin/jellyfin
12201538,aspnetboilerplate/aspnetboilerplate,9283,https://github.com/aspnetboilerplate/aspnetboilerplate
791611,mono/mono,9113,https://github.com/mono/mono
959908,OpenRA/OpenRA,8945,https://github.com/OpenRA/OpenRA
9864166,App-vNext/Polly,8692,https://github.com/App-vNext/Polly
28239455,dotnet/AspNetCore.Docs,8603,https://github.com/dotnet/AspNetCore.Docs
3476845,JamesNK/Newtonsoft.Json,8335,https://github.com/JamesNK/Newtonsoft.Json
2087064,SignalR/SignalR,8257,https://github.com/SignalR/SignalR
88064357,QL-Win/QuickLook,7890,https://github.com/QL-Win/QuickLook
505380,AutoMapper/AutoMapper,7810,https://github.com/AutoMapper/AutoMapper
1135454,cefsharp/CefSharp,7708,https://github.com/cefsharp/CefSharp
374228,restsharp/RestSharp,7676,https://github.com/restsharp/RestSharp
46652227,IdentityServer/IdentityServer4,7637,https://github.com/IdentityServer/IdentityServer4
198071756,huiyadanli/RevokeMsgPatcher,7630,https://github.com/huiyadanli/RevokeMsgPatcher
118322286,felixse/FluentTerminal,7611,https://github.com/felixse/FluentTerminal
2584777,MahApps/MahApps.Metro,7477,https://github.com/MahApps/MahApps.Metro
193681686,NetchX/Netch,7440,https://github.com/NetchX/Netch
126486701,Unity-Technologies/UnityCsReference,7413,https://github.com/Unity-Technologies/UnityCsReference
132021166,dotnet/machinelearning,7373,https://github.com/dotnet/machinelearning
1579990,MonoGame/MonoGame,7323,https://github.com/MonoGame/MonoGame
28232663,dotnet/orleans,7276,https://github.com/dotnet/orleans
28647218,chocolatey/choco,7222,https://github.com/chocolatey/choco
738250,NancyFx/Nancy,7140,https://github.com/NancyFx/Nancy
164140756,files-community/Files,7001,https://github.com/files-community/Files
46755185,bitwarden/server,6739,https://github.com/bitwarden/server
7560589,JeffreySu/WeiXinMPSDK,6647,https://github.com/JeffreySu/WeiXinMPSDK
75990888,dotnet/csharplang,6600,https://github.com/dotnet/csharplang
11920542,HangfireIO/Hangfire,6466,https://github.com/HangfireIO/Hangfire
142076747,microsoft/ailab,6293,https://github.com/microsoft/ailab
69673033,ardalis/CleanArchitecture,6267,https://github.com/ardalis/CleanArchitecture
44897462,JustArchiNET/ArchiSteamFarm,6193,https://github.com/JustArchiNET/ArchiSteamFarm
12191244,dotnet/BenchmarkDotNet,6192,https://github.com/dotnet/BenchmarkDotNet
22456440,ppy/osu,6176,https://github.com/ppy/osu
2465723,Sonarr/Sonarr,6105,https://github.com/Sonarr/Sonarr
715082,reactiveui/ReactiveUI,6090,https://github.com/reactiveui/ReactiveUI
262395224,dotnet/maui,6086,https://github.com/dotnet/maui
443962,FluentValidation/FluentValidation,5988,https://github.com/FluentValidation/FluentValidation
62256097,ThreeMammals/Ocelot,5957,https://github.com/ThreeMammals/Ocelot
17369361,jbogard/MediatR,5936,https://github.com/jbogard/MediatR
22636263,duplicati/duplicati,5820,https://github.com/duplicati/duplicati
18586705,nopSolutions/nopCommerce,5756,https://github.com/nopSolutions/nopCommerce
15126429,aspnet/Mvc,5735,https://github.com/aspnet/Mvc
8835057,xupefei/Locale-Emulator,5614,https://github.com/xupefei/Locale-Emulator
41589439,MathewSachin/Captura,5588,https://github.com/MathewSachin/Captura
75505125,abpframework/abp,5576,https://github.com/abpframework/abp
83380995,dotnet-architecture/eShopOnWeb,5541,https://github.com/dotnet-architecture/eShopOnWeb
23315232,mbdavid/LiteDB,5541,https://github.com/mbdavid/LiteDB
105649273,ElectronNET/Electron.NET,5439,https://github.com/ElectronNET/Electron.NET
85953,gitextensions/gitextensions,5432,https://github.com/gitextensions/gitextensions
64290739,dodyg/practical-aspnetcore,5431,https://github.com/dodyg/practical-aspnetcore
104670977,dvf/blockchain,5387,https://github.com/dvf/blockchain
80058269,microsoft/VFSForGit,5373,https://github.com/microsoft/VFSForGit
64753043,Perfare/AssetStudio,5342,https://github.com/Perfare/AssetStudio
59715467,lambci/docker-lambda,5287,https://github.com/lambci/docker-lambda
4213474,Humanizr/Humanizer,5267,https://github.com/Humanizr/Humanizer
45195614,Jackett/Jackett,5262,https://github.com/Jackett/Jackett
500093,winsw/winsw,5257,https://github.com/winsw/winsw
54213490,xamarin/Xamarin.Forms,5127,https://github.com/xamarin/Xamarin.Forms
460848,mRemoteNG/mRemoteNG,5016,https://github.com/mRemoteNG/mRemoteNG
153711945,dotnet/wpf,4922,https://github.com/dotnet/wpf
113807330,migueldeicaza/gui.cs,4909,https://github.com/migueldeicaza/gui.cs
2419727,de4dot/de4dot,4908,https://github.com/de4dot/de4dot
77323220,Radarr/Radarr,4906,https://github.com/Radarr/Radarr
5780416,NLog/NLog,4889,https://github.com/NLog/NLog
210716005,dotnet/runtime,4882,https://github.com/dotnet/runtime
1339922,ServiceStack/ServiceStack,4866,https://github.com/ServiceStack/ServiceStack
17873382,sschmid/Entitas-CSharp,4852,https://github.com/sschmid/Entitas-CSharp
26884725,OrchardCMS/OrchardCore,4824,https://github.com/OrchardCMS/OrchardCore
17941520,neuecc/UniRx,4818,https://github.com/neuecc/UniRx
12576526,dotnet/reactive,4773,https://github.com/dotnet/reactive
42749841,Live-Charts/Live-Charts,4674,https://github.com/Live-Charts/Live-Charts
11591313,reactiveui/refit,4672,https://github.com/reactiveui/refit
17748183,StackExchange/StackExchange.Redis,4610,https://github.com/StackExchange/StackExchange.Redis
38632468,graphql-dotnet/graphql-dotnet,4609,https://github.com/graphql-dotnet/graphql-dotnet
72174164,SixLabors/ImageSharp,4558,https://github.com/SixLabors/ImageSharp
