id,name,stars,link
184456251,microsoft/PowerToys,57303,https://github.com/microsoft/PowerToys
7600409,shadowsocks/shadowsocks-windows,52583,https://github.com/shadowsocks/shadowsocks-windows
49609581,PowerShell/PowerShell,27786,https://github.com/PowerShell/PowerShell
17620347,dotnet/aspnetcore,25045,https://github.com/dotnet/aspnetcore
11620669,CodeHubApp/CodeHub,23317,https://github.com/CodeHubApp/CodeHub
199570071,2dust/v2rayN,21407,https://github.com/2dust/v2rayN
15315789,Wox-launcher/Wox,20452,https://github.com/Wox-launcher/Wox
38380854,dnSpy/dnSpy,18547,https://github.com/dnSpy/dnSpy
70104825,dotnet-architecture/eShopOnContainers,18130,https://github.com/dotnet-architecture/eShopOnContainers
13428264,ShareX/ShareX,16602,https://github.com/ShareX/ShareX
69662720,mxgmn/WaveFunctionCollapse,16565,https://github.com/mxgmn/WaveFunctionCollapse
64713769,NickeManarin/ScreenToGif,14904,https://github.com/NickeManarin/ScreenToGif
54086969,thangchung/awesome-dotnet-core,14845,https://github.com/thangchung/awesome-dotnet-core
29078997,dotnet/roslyn,14663,https://github.com/dotnet/roslyn
1613345,DapperLib/Dapper,13920,https://github.com/DapperLib/Dapper
1327739,icsharpcode/ILSpy,13047,https://github.com/icsharpcode/ILSpy
14964475,AvaloniaUI/Avalonia,11607,https://github.com/AvaloniaUI/Avalonia
102904613,Unity-Technologies/ml-agents,11365,https://github.com/Unity-Technologies/ml-agents
164140756,files-community/Files,11274,https://github.com/files-community/Files
161012019,jellyfin/jellyfin,11240,https://github.com/jellyfin/jellyfin
30474266,MaterialDesignInXAML/MaterialDesignInXamlToolkit,11020,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit
262395224,dotnet/maui,10652,https://github.com/dotnet/maui
198071756,huiyadanli/RevokeMsgPatcher,10507,https://github.com/huiyadanli/RevokeMsgPatcher
16157746,dotnet/efcore,10388,https://github.com/dotnet/efcore
12201538,aspnetboilerplate/aspnetboilerplate,9695,https://github.com/aspnetboilerplate/aspnetboilerplate
28239455,dotnet/AspNetCore.Docs,9477,https://github.com/dotnet/AspNetCore.Docs
959908,OpenRA/OpenRA,9457,https://github.com/OpenRA/OpenRA
9864166,App-vNext/Polly,9402,https://github.com/App-vNext/Polly
45363955,lionsoul2014/ip2region,9398,https://github.com/lionsoul2014/ip2region
791611,mono/mono,9382,https://github.com/mono/mono
