id,name,stars,link
184456251,microsoft/PowerToys,52546,https://github.com/microsoft/PowerToys
7600409,shadowsocks/shadowsocks-windows,51981,https://github.com/shadowsocks/shadowsocks-windows
49609581,PowerShell/PowerShell,25582,https://github.com/PowerShell/PowerShell
11620669,CodeHubApp/CodeHub,23208,https://github.com/CodeHubApp/CodeHub
17620347,dotnet/aspnetcore,21710,https://github.com/dotnet/aspnetcore
15315789,Wox-launcher/Wox,19894,https://github.com/Wox-launcher/Wox
199570071,2dust/v2rayN,19313,https://github.com/2dust/v2rayN
38380854,dnSpy/dnSpy,17811,https://github.com/dnSpy/dnSpy
70104825,dotnet-architecture/eShopOnContainers,17182,https://github.com/dotnet-architecture/eShopOnContainers
69662720,mxgmn/WaveFunctionCollapse,16032,https://github.com/mxgmn/WaveFunctionCollapse
13428264,ShareX/ShareX,15619,https://github.com/ShareX/ShareX
54086969,thangchung/awesome-dotnet-core,14314,https://github.com/thangchung/awesome-dotnet-core
29078997,dotnet/roslyn,14224,https://github.com/dotnet/roslyn
64713769,NickeManarin/ScreenToGif,13904,https://github.com/NickeManarin/ScreenToGif
1613345,StackExchange/Dapper,13567,https://github.com/StackExchange/Dapper
1327739,icsharpcode/ILSpy,12355,https://github.com/icsharpcode/ILSpy
14964475,AvaloniaUI/Avalonia,10957,https://github.com/AvaloniaUI/Avalonia
102904613,Unity-Technologies/ml-agents,10853,https://github.com/Unity-Technologies/ml-agents
30474266,MaterialDesignInXAML/MaterialDesignInXamlToolkit,10576,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit
161012019,jellyfin/jellyfin,10388,https://github.com/jellyfin/jellyfin
16157746,dotnet/efcore,10057,https://github.com/dotnet/efcore
12201538,aspnetboilerplate/aspnetboilerplate,9450,https://github.com/aspnetboilerplate/aspnetboilerplate
791611,mono/mono,9210,https://github.com/mono/mono
959908,OpenRA/OpenRA,9171,https://github.com/OpenRA/OpenRA
45363955,lionsoul2014/ip2region,9121,https://github.com/lionsoul2014/ip2region
9864166,App-vNext/Polly,8988,https://github.com/App-vNext/Polly
28239455,dotnet/AspNetCore.Docs,8847,https://github.com/dotnet/AspNetCore.Docs
164140756,files-community/Files,8472,https://github.com/files-community/Files
3476845,JamesNK/Newtonsoft.Json,8471,https://github.com/JamesNK/Newtonsoft.Json
88064357,QL-Win/QuickLook,8437,https://github.com/QL-Win/QuickLook
198071756,huiyadanli/RevokeMsgPatcher,8425,https://github.com/huiyadanli/RevokeMsgPatcher
2087064,SignalR/SignalR,8330,https://github.com/SignalR/SignalR
