id;name;stars
7600409;shadowsocks/shadowsocks-windows;45870
11620669;CodeHubApp/CodeHub;22385
49609581;PowerShell/PowerShell;16904
17620347;aspnet/AspNetCore;15200
15315789;Wox-launcher/Wox;15192
69662720;mxgmn/WaveFunctionCollapse;13388
38380854;0xd4d/dnSpy;12675
30092893;dotnet/coreclr;12293
29078997;dotnet/roslyn;12237
70104825;dotnet-architecture/eShopOnContainers;12190
1613345;StackExchange/Dapper;11759
13428264;ShareX/ShareX;11393
54086969;thangchung/awesome-dotnet-core;10820
1327739;icsharpcode/ILSpy;9261
64713769;NickeManarin/ScreenToGif;9256
16157746;aspnet/EntityFrameworkCore;8496
791611;mono/mono;8396
30474266;MaterialDesignInXAML/MaterialDesignInXamlToolkit;7956
2087064;SignalR/SignalR;7929
14964475;AvaloniaUI/Avalonia;7806
12201538;aspnetboilerplate/aspnetboilerplate;7778
3476845;JamesNK/Newtonsoft.Json;7463
738250;NancyFx/Nancy;6993
959908;OpenRA/OpenRA;6942
374228;restsharp/RestSharp;6925
9864166;App-vNext/Polly;6894
505380;AutoMapper/AutoMapper;6859
132021166;dotnet/machinelearning;6639
143460965;GoogleCloudPlatform/microservices-demo;6623
1135454;cefsharp/CefSharp;6559
2584777;MahApps/MahApps.Metro;6491
28239455;aspnet/AspNetCore.Docs;6428
1579990;MonoGame/MonoGame;6310
28232663;dotnet/orleans;6161
126486701;Unity-Technologies/UnityCsReference;6138
28647218;chocolatey/choco;6113
7560589;JeffreySu/WeiXinMPSDK;5764
15126429;aspnet/Mvc;5762
118322286;felixse/FluentTerminal;5639
46652227;IdentityServer/IdentityServer4;5604
11920542;HangfireIO/Hangfire;5335
142076747;microsoft/ailab;5170
715082;reactiveui/ReactiveUI;5126
75990888;dotnet/csharplang;5103
80058269;microsoft/VFSForGit;5028
443962;JeremySkinner/FluentValidation;4971
2465723;Sonarr/Sonarr;4848
161012019;jellyfin/jellyfin;4844
12191244;dotnet/BenchmarkDotNet;4811
104670977;dvf/blockchain;4745
1339922;ServiceStack/ServiceStack;4655
44897462;JustArchiNET/ArchiSteamFarm;4654
22636263;duplicati/duplicati;4617
88064357;QL-Win/QuickLook;4554
23315232;mbdavid/LiteDB;4535
62256097;ThreeMammals/Ocelot;4507
4213474;Humanizr/Humanizer;4489
85953;gitextensions/gitextensions;4460
46755185;bitwarden/server;4438
956732;hbons/SparkleShare;4344
59715467;lambci/docker-lambda;4324
199570071;2dust/v2rayN;4298
18586705;nopSolutions/nopCommerce;4257
5780416;NLog/NLog;4226
8835057;xupefei/Locale-Emulator;4201
4600400;Redth/PushSharp;4188
17873382;sschmid/Entitas-CSharp;4144
17369361;jbogard/MediatR;4140
32051890;microsoft/msbuild;4097
12576526;dotnet/reactive;4072
153711945;dotnet/wpf;4054
105649273;ElectronNET/Electron.NET;4035
54213490;xamarin/Xamarin.Forms;4012
22456440;ppy/osu;3969
98547658;shadowsocksr-backup/shadowsocksr-csharp;3945
17941520;neuecc/UniRx;3927
17748183;StackExchange/StackExchange.Redis;3904
13589461;opserver/Opserver;3878
143253020;microsoft/FASTER;3824
38632468;graphql-dotnet/graphql-dotnet;3820
52097767;HJLebbink/asm-dude;3784
42749841;Live-Charts/Live-Charts;3775
460848;mRemoteNG/mRemoteNG;3765
83380995;dotnet-architecture/eShopOnWeb;3750
11591313;reactiveui/refit;3718
21836148;OptiKey/OptiKey;3695
