id;name;stars
7600409;shadowsocks/shadowsocks-windows;42524
11620669;CodeHubApp/CodeHub;21468
26295345;dotnet/corefx;17363
49609581;PowerShell/PowerShell;15637
15315789;Wox-launcher/Wox;14377
17620347;aspnet/AspNetCore;13688
69662720;mxgmn/WaveFunctionCollapse;12883
30092893;dotnet/coreclr;12032
29078997;dotnet/roslyn;11871
38380854;0xd4d/dnSpy;11630
1613345;StackExchange/Dapper;11275
70104825;dotnet-architecture/eShopOnContainers;11184
13428264;ShareX/ShareX;10788
54086969;thangchung/awesome-dotnet-core;9944
1327739;icsharpcode/ILSpy;8548
64713769;NickeManarin/ScreenToGif;8317
791611;mono/mono;8176
16157746;aspnet/EntityFrameworkCore;8078
2087064;SignalR/SignalR;7816
12201538;aspnetboilerplate/aspnetboilerplate;7372
3476845;JamesNK/Newtonsoft.Json;7218
30474266;MaterialDesignInXAML/MaterialDesignInXamlToolkit;7194
14964475;AvaloniaUI/Avalonia;7093
738250;NancyFx/Nancy;6892
102904613;Unity-Technologies/ml-agents;6728
959908;OpenRA/OpenRA;6709
374228;restsharp/RestSharp;6695
505380;AutoMapper/AutoMapper;6632
9864166;App-vNext/Polly;6483
132021166;dotnet/machinelearning;6388
1135454;cefsharp/CefSharp;6205
2584777;MahApps/MahApps.Metro;6198
1579990;MonoGame/MonoGame;6108
121637551;hoodiearon/w3-goto-world;6014
143460965;GoogleCloudPlatform/microservices-demo;5839
28239455;aspnet/AspNetCore.Docs;5829
126486701;Unity-Technologies/UnityCsReference;5793
28647218;chocolatey/choco;5787
15126429;aspnet/Mvc;5763
28232663;dotnet/orleans;5412
7560589;JeffreySu/WeiXinMPSDK;5395
46652227;IdentityServer/IdentityServer4;5066
11920542;HangfireIO/Hangfire;5065
142076747;microsoft/ailab;5020
118322286;felixse/FluentTerminal;4975
80058269;microsoft/VFSForGit;4889
715082;reactiveui/ReactiveUI;4855
75990888;dotnet/csharplang;4726
443962;JeremySkinner/FluentValidation;4698
1339922;ServiceStack/ServiceStack;4595
2465723;Sonarr/Sonarr;4583
104670977;dvf/blockchain;4500
12191244;dotnet/BenchmarkDotNet;4436
44897462;JustArchiNET/ArchiSteamFarm;4434
22636263;duplicati/duplicati;4350
956732;hbons/SparkleShare;4287
4213474;Humanizr/Humanizer;4266
23315232;mbdavid/LiteDB;4243
85953;gitextensions/gitextensions;4213
4600400;Redth/PushSharp;4155
62256097;ThreeMammals/Ocelot;4126
88064357;QL-Win/QuickLook;4068
5780416;NLog/NLog;4047
32051890;microsoft/msbuild;4021
17873382;sschmid/Entitas-CSharp;3919
18586705;nopSolutions/nopCommerce;3911
8835057;xupefei/Locale-Emulator;3888
12576526;dotnet/reactive;3857
13589461;opserver/Opserver;3820
153711945;dotnet/wpf;3807
46755185;bitwarden/server;3778
52097767;HJLebbink/asm-dude;3758
17369361;jbogard/MediatR;3758
161012019;jellyfin/jellyfin;3757
17748183;StackExchange/StackExchange.Redis;3737
17941520;neuecc/UniRx;3707
54213490;xamarin/Xamarin.Forms;3685
105649273;ElectronNET/Electron.NET;3681
21836148;OptiKey/OptiKey;3666
143253020;microsoft/FASTER;3664
20304390;HearthSim/Hearthstone-Deck-Tracker;3639
41032527;Nummer/Destroy-Windows-10-Spying;3620
98547658;shadowsocksr-backup/shadowsocksr-csharp;3611
38632468;graphql-dotnet/graphql-dotnet;3602
24504893;brandonlw/Psychson;3594
3964514;accord-net/framework;3548
42749841;Live-Charts/Live-Charts;3544
460848;mRemoteNG/mRemoteNG;3530
22456440;ppy/osu;3526
11591313;reactiveui/refit;3517
1208824;quartznet/quartznet;3447
5844474;EventStore/EventStore;3443
2419727;0xd4d/de4dot;3436
43568107;dotnet/cli;3377
15509440;akkadotnet/akka.net;3360
72174164;SixLabors/ImageSharp;3331
77323220;Radarr/Radarr;3303
83380995;dotnet-architecture/eShopOnWeb;3287
61403402;windows-toolkit/WindowsCommunityToolkit;3234
45195614;Jackett/Jackett;3218
31335300;PrismLibrary/Prism;3191
35291446;itinance/react-native-fs;3187
42753362;microsoft/VisualStudioUninstaller;3176
45365298;aspnet/JavaScriptServices;3172
997491;sta/websocket-sharp;3162
46080325;PKISharp/win-acme;3143
33200340;react-native-community/react-native-linear-gradient;3139
76445704;dotnetcore/CAP;3131
3689718;moq/moq4;3102
64753043;Perfare/AssetStudio;3100
153427475;Unity-Technologies/FPSSample;3098
30941532;intel/acat;3090
8198511;serilog/serilog;3029
26884725;OrchardCMS/OrchardCore;3025
500093;kohsuke/winsw;3018
22584823;TheBerkin/rant;3010
778834;Topshelf/Topshelf;3001
70460785;Unity-Technologies/PostProcessing;2998
35608694;aalhour/C-Sharp-Algorithms;2980
2870911;MvvmCross/MvvmCross;2980
19216825;xamarin/xamarin-forms-samples;2966
64290739;dodyg/practical-aspnetcore;2956
50605426;microsoft/MixedRealityToolkit-Unity;2949
23001353;dotnet-state-machine/stateless;2929
76425236;EduardoPires/EquinoxProject;2906
81283552;udacity/self-driving-car-sim;2891
36613036;neo-project/neo;2874
56940351;ExtendRealityLtd/VRTK;2872
388860;VsVim/VsVim;2842
14999623;jstedfast/MailKit;2839
96299354;dotnetcore/Util;2831
41822320;RicoSuter/NSwag;2821
70128945;Accelerider/BaiduPanDownloadWinform;2819
21696509;BearishSun/BansheeEngine;2814
106386177;Jimmey-Jiang/Common.Utility;2804
10501638;AngleSharp/AngleSharp;2791
125612271;Unity-Technologies/EntityComponentSystemSamples;2779
27251463;QuantConnect/Lean;2779
37357499;sublimehq/Packages;2755
16139210;autofac/Autofac;2732
79082378;migueldeicaza/TensorFlowSharp;2731
4933039;Fody/Fody;2729
10750139;domaindrivendev/Swashbuckle;2712
78289422;ClusterM/hakchi2;2708
