id;name;stars
7600409;shadowsocks/shadowsocks-windows;44483
11620669;CodeHubApp/CodeHub;21958
26295345;dotnet/corefx;17724
49609581;PowerShell/PowerShell;16419
15315789;Wox-launcher/Wox;14841
17620347;aspnet/AspNetCore;14487
69662720;mxgmn/WaveFunctionCollapse;13229
30092893;dotnet/coreclr;12221
38380854;0xd4d/dnSpy;12170
29078997;dotnet/roslyn;12070
70104825;dotnet-architecture/eShopOnContainers;11726
1613345;StackExchange/Dapper;11568
13428264;ShareX/ShareX;11155
54086969;thangchung/awesome-dotnet-core;10460
1327739;icsharpcode/ILSpy;8986
64713769;NickeManarin/ScreenToGif;8816
16157746;aspnet/EntityFrameworkCore;8335
791611;mono/mono;8316
2087064;SignalR/SignalR;7890
12201538;aspnetboilerplate/aspnetboilerplate;7594
14964475;AvaloniaUI/Avalonia;7531
30474266;MaterialDesignInXAML/MaterialDesignInXamlToolkit;7504
3476845;JamesNK/Newtonsoft.Json;7347
738250;NancyFx/Nancy;6944
959908;OpenRA/OpenRA;6855
374228;restsharp/RestSharp;6818
505380;AutoMapper/AutoMapper;6759
9864166;App-vNext/Polly;6697
132021166;dotnet/machinelearning;6544
1135454;cefsharp/CefSharp;6384
2584777;MahApps/MahApps.Metro;6350
143460965;GoogleCloudPlatform/microservices-demo;6288
1579990;MonoGame/MonoGame;6205
28239455;aspnet/AspNetCore.Docs;6174
126486701;Unity-Technologies/UnityCsReference;5989
28647218;chocolatey/choco;5963
28232663;dotnet/orleans;5957
15126429;aspnet/Mvc;5772
7560589;JeffreySu/WeiXinMPSDK;5589
46652227;IdentityServer/IdentityServer4;5400
118322286;felixse/FluentTerminal;5355
11920542;HangfireIO/Hangfire;5214
142076747;microsoft/ailab;5077
715082;reactiveui/ReactiveUI;5001
80058269;microsoft/VFSForGit;4985
75990888;dotnet/csharplang;4911
443962;JeremySkinner/FluentValidation;4828
2465723;Sonarr/Sonarr;4689
12191244;dotnet/BenchmarkDotNet;4664
104670977;dvf/blockchain;4643
1339922;ServiceStack/ServiceStack;4625
44897462;JustArchiNET/ArchiSteamFarm;4538
22636263;duplicati/duplicati;4501
4213474;Humanizr/Humanizer;4400
23315232;mbdavid/LiteDB;4397
62256097;ThreeMammals/Ocelot;4363
85953;gitextensions/gitextensions;4353
956732;hbons/SparkleShare;4326
88064357;QL-Win/QuickLook;4310
161012019;jellyfin/jellyfin;4243
4600400;Redth/PushSharp;4175
5780416;NLog/NLog;4146
46755185;bitwarden/server;4128
18586705;nopSolutions/nopCommerce;4088
32051890;microsoft/msbuild;4062
8835057;xupefei/Locale-Emulator;4051
17873382;sschmid/Entitas-CSharp;4038
12576526;dotnet/reactive;3969
153711945;dotnet/wpf;3960
17369361;jbogard/MediatR;3955
54213490;xamarin/Xamarin.Forms;3881
105649273;ElectronNET/Electron.NET;3879
13589461;opserver/Opserver;3856
17941520;neuecc/UniRx;3830
98547658;shadowsocksr-backup/shadowsocksr-csharp;3829
17748183;StackExchange/StackExchange.Redis;3807
22456440;ppy/osu;3786
52097767;HJLebbink/asm-dude;3777
143253020;microsoft/FASTER;3756
38632468;graphql-dotnet/graphql-dotnet;3740
21836148;OptiKey/OptiKey;3680
460848;mRemoteNG/mRemoteNG;3673
42749841;Live-Charts/Live-Charts;3658
20304390;HearthSim/Hearthstone-Deck-Tracker;3639
11591313;reactiveui/refit;3627
3964514;accord-net/framework;3607
24504893;brandonlw/Psychson;3605
2419727;0xd4d/de4dot;3590
83380995;dotnet-architecture/eShopOnWeb;3564
1208824;quartznet/quartznet;3564
5844474;EventStore/EventStore;3517
72174164;SixLabors/ImageSharp;3464
77323220;Radarr/Radarr;3432
45195614;Jackett/Jackett;3424
15509440;akkadotnet/akka.net;3422
61403402;windows-toolkit/WindowsCommunityToolkit;3321
64753043;Perfare/AssetStudio;3299
69673033;ardalis/CleanArchitecture;3286
31335300;PrismLibrary/Prism;3281
35291446;itinance/react-native-fs;3276
76445704;dotnetcore/CAP;3260
997491;sta/websocket-sharp;3248
500093;kohsuke/winsw;3240
46080325;PKISharp/win-acme;3234
33200340;react-native-community/react-native-linear-gradient;3227
26884725;OrchardCMS/OrchardCore;3225
42753362;microsoft/VisualStudioUninstaller;3225
153427475;Unity-Technologies/FPSSample;3210
3689718;moq/moq4;3168
45365298;aspnet/JavaScriptServices;3164
8198511;serilog/serilog;3160
35608694;aalhour/C-Sharp-Algorithms;3123
76425236;EduardoPires/EquinoxProject;3109
30941532;intel/acat;3097
64290739;dodyg/practical-aspnetcore;3078
778834;Topshelf/Topshelf;3068
70460785;Unity-Technologies/PostProcessing;3060
50605426;microsoft/MixedRealityToolkit-Unity;3052
23001353;dotnet-state-machine/stateless;3045
19216825;xamarin/xamarin-forms-samples;3035
22584823;TheBerkin/rant;3024
2870911;MvvmCross/MvvmCross;3023
106386177;Jimmey-Jiang/Common.Utility;3021
41822320;RicoSuter/NSwag;2964
81283552;udacity/self-driving-car-sim;2957
125612271;Unity-Technologies/EntityComponentSystemSamples;2950
199570071;2dust/v2rayN;2939
56940351;ExtendRealityLtd/VRTK;2932
14999623;jstedfast/MailKit;2931
96299354;dotnetcore/Util;2921
10501638;AngleSharp/AngleSharp;2913
36613036;neo-project/neo;2912
27251463;QuantConnect/Lean;2911
21696509;GameFoundry/BansheeEngine;2874
388860;VsVim/VsVim;2874
113807330;migueldeicaza/gui.cs;2873
70584079;JasonGT/NorthwindTraders;2837
70128945;Accelerider/BaiduPanDownloadWinform;2812
16139210;autofac/Autofac;2808
743436;egametang/ET;2803
67071145;dotnet/standard;2793
10750139;domaindrivendev/Swashbuckle;2780
10601208;umbraco/Umbraco-CMS;2771
4933039;Fody/Fody;2762
21611723;quasar/QuasarRAT;2759
79082378;migueldeicaza/TensorFlowSharp;2755
96975695;JanKallman/EPPlus;2732
78289422;ClusterM/hakchi2;2729
32304121;domaindrivendev/Swashbuckle.AspNetCore;2720
94545558;dotnetcore/surging;2679
35555089;KeenSoftwareHouse/SpaceEngineers;2657
26732453;louthy/language-ext;2644
35290377;Azure/DotNetty;2643
20344662;aspnet/KestrelHttpServer;2602
27791908;googlevr/gvr-unity-sdk;2567
942613;elastic/elasticsearch-net;2527
75505125;abpframework/abp;2520
162313649;Deltafox79/Navicat_Keygen;2516
453037;JoshClose/CsvHelper;2515
15061404;playgameservices/play-games-plugin-for-unity;2506
55284016;ferventdesert/Hawk;2504
791299;mono/monodevelop;2435
1939769;projectkudu/kudu;2431
18203752;yck1509/ConfuserEx;2428
71159589;aspnet/SignalR;2421
42552143;dotnet/corert;2404
36990723;bchavez/Bogus;2379
59361967;simplcommerce/SimplCommerce;2376
20094029;cake-build/cake;2374
1666245;praeclarum/sqlite-net;2371
15819024;Codeusa/Borderless-Gaming;2368
38992233;sunkaixuan/SqlSugar;2368
8231466;MediaBrowser/Emby;2350
153711830;dotnet/winforms;2341
542714;ravendb/ravendb;2330
778828;MassTransit/MassTransit;2322
1835758;picoe/Eto;2322
62172778;Unity-Technologies/ScriptableRenderPipeline;2313
9891249;xunit/xunit;2304
699689;mongodb/mongo-csharp-driver;2270
47679179;OpenLiveWriter/OpenLiveWriter;2265
145356;ninject/Ninject;2260
27703983;StockSharp/StockSharp;2255
1297957;Glimpse/Glimpse;2246
54357610;dotnetcore/DotnetSpider;2224
30830689;naudio/NAudio;2220
32487763;microsoft/PTVS;2218
42456996;microsoft/Git-Credential-Manager-for-Windows;2208
81770291;neuecc/MessagePack-CSharp;2202
88068120;randyrants/sharpkeys;2194
8473240;scriptcs/scriptcs;2178
4471160;JimBobSquarePants/ImageProcessor;2175
20532052;OfficeDev/Open-XML-SDK;2153
5297370;kerryjiang/SuperSocket;2152
154741914;marian42/wavefunctioncollapse;2149
39787202;nefarius/ScpToolkit;2147
68730444;microsoft/BotBuilder-Samples;2139
18418026;OneGet/oneget;2115
41268252;openhardwaremonitor/openhardwaremonitor;2106
15714062;IdentityServer/IdentityServer3;2068
38919702;File-New-Project/EarTrumpet;2058
589349;fluentmigrator/fluentmigrator;2044
136570231;xenko3d/xenko;2030
86182490;JosefNemec/Playnite;2030
30497800;firstfloorsoftware/mui;2015
4001139;studyzy/imewlconverter;1994
193681686;NetchX/Netch;1992
26521129;microsoft/referencesource;1982
22253514;ExcelDataReader/ExcelDataReader;1969
94242089;xceedsoftware/wpftoolkit;1966
235303;mathnet/mathnet-numerics;1964
15351385;shimat/opencvsharp;1944
38007053;dotnet/docfx;1943
13026657;kevin-montrose/Jil;1941
45907227;topameng/tolua;1940
71976622;LazoCoder/Windows-Hacks;1936
50244673;inkle/ink;1935
16412440;Caliburn-Micro/Caliburn.Micro;1934
