id;name;stars
7600409;shadowsocks/shadowsocks-windows;46280
11620669;CodeHubApp/CodeHub;22473
49609581;PowerShell/PowerShell;17054
17620347;aspnet/AspNetCore;15426
15315789;Wox-launcher/Wox;15353
69662720;mxgmn/WaveFunctionCollapse;13417
38380854;0xd4d/dnSpy;12824
70104825;dotnet-architecture/eShopOnContainers;12311
30092893;dotnet/coreclr;12302
29078997;dotnet/roslyn;12274
1613345;StackExchange/Dapper;11811
13428264;ShareX/ShareX;11449
54086969;thangchung/awesome-dotnet-core;10911
64713769;NickeManarin/ScreenToGif;9410
1327739;icsharpcode/ILSpy;9342
16157746;aspnet/EntityFrameworkCore;8553
791611;mono/mono;8420
30474266;MaterialDesignInXAML/MaterialDesignInXamlToolkit;8056
2087064;SignalR/SignalR;7941
14964475;AvaloniaUI/Avalonia;7888
12201538;aspnetboilerplate/aspnetboilerplate;7842
3476845;JamesNK/Newtonsoft.Json;7503
738250;NancyFx/Nancy;7007
959908;OpenRA/OpenRA;6980
374228;restsharp/RestSharp;6950
9864166;App-vNext/Polly;6927
505380;AutoMapper/AutoMapper;6887
143460965;GoogleCloudPlatform/microservices-demo;6705
132021166;dotnet/machinelearning;6674
1135454;cefsharp/CefSharp;6604
2584777;MahApps/MahApps.Metro;6527
28239455;aspnet/AspNetCore.Docs;6501
1579990;MonoGame/MonoGame;6350
28232663;dotnet/orleans;6215
126486701;Unity-Technologies/UnityCsReference;6185
28647218;chocolatey/choco;6147
7560589;JeffreySu/WeiXinMPSDK;5823
15126429;aspnet/Mvc;5764
118322286;felixse/FluentTerminal;5701
46652227;IdentityServer/IdentityServer4;5669
11920542;HangfireIO/Hangfire;5360
142076747;microsoft/ailab;5276
75990888;dotnet/csharplang;5165
715082;reactiveui/ReactiveUI;5158
80058269;microsoft/VFSForGit;5034
443962;JeremySkinner/FluentValidation;5000
161012019;jellyfin/jellyfin;4980
2465723;Sonarr/Sonarr;4890
12191244;dotnet/BenchmarkDotNet;4856
104670977;dvf/blockchain;4767
44897462;JustArchiNET/ArchiSteamFarm;4708
199570071;2dust/v2rayN;4680
22636263;duplicati/duplicati;4673
1339922;ServiceStack/ServiceStack;4666
88064357;QL-Win/QuickLook;4666
23315232;mbdavid/LiteDB;4567
62256097;ThreeMammals/Ocelot;4550
46755185;bitwarden/server;4533
85953;gitextensions/gitextensions;4520
4213474;Humanizr/Humanizer;4504
59715467;lambci/docker-lambda;4360
956732;hbons/SparkleShare;4348
18586705;nopSolutions/nopCommerce;4302
8835057;xupefei/Locale-Emulator;4264
5780416;NLog/NLog;4247
17369361;jbogard/MediatR;4198
4600400;Redth/PushSharp;4191
17873382;sschmid/Entitas-CSharp;4183
32051890;microsoft/msbuild;4109
12576526;dotnet/reactive;4092
22456440;ppy/osu;4084
105649273;ElectronNET/Electron.NET;4079
153711945;dotnet/wpf;4073
54213490;xamarin/Xamarin.Forms;4043
98547658;shadowsocksr-backup/shadowsocksr-csharp;3975
17941520;neuecc/UniRx;3960
17748183;StackExchange/StackExchange.Redis;3932
13589461;opserver/Opserver;3886
38632468;graphql-dotnet/graphql-dotnet;3841
143253020;microsoft/FASTER;3840
42749841;Live-Charts/Live-Charts;3821
83380995;dotnet-architecture/eShopOnWeb;3798
460848;mRemoteNG/mRemoteNG;3788
52097767;HJLebbink/asm-dude;3786
11591313;reactiveui/refit;3740
2419727;0xd4d/de4dot;3732
21836148;OptiKey/OptiKey;3695
45195614;Jackett/Jackett;3686
3964514;accord-net/framework;3680
20304390;HearthSim/Hearthstone-Deck-Tracker;3675
1208824;quartznet/quartznet;3652
24504893;brandonlw/Psychson;3627
77323220;Radarr/Radarr;3627
5844474;EventStore/EventStore;3612
69673033;ardalis/CleanArchitecture;3587
72174164;SixLabors/ImageSharp;3583
64753043;Perfare/AssetStudio;3531
500093;kohsuke/winsw;3524
15509440;akkadotnet/akka.net;3474
26884725;OrchardCMS/OrchardCore;3428
31335300;PrismLibrary/Prism;3409
76445704;dotnetcore/CAP;3403
61403402;windows-toolkit/WindowsCommunityToolkit;3389
35291446;itinance/react-native-fs;3369
997491;sta/websocket-sharp;3337
46080325;PKISharp/win-acme;3333
153427475;Unity-Technologies/FPSSample;3326
8198511;serilog/serilog;3310
33200340;react-native-community/react-native-linear-gradient;3301
106386177;Jimmey-Jiang/Common.Utility;3301
42753362;microsoft/VisualStudioUninstaller;3280
76425236;EduardoPires/EquinoxProject;3269
3689718;moq/moq4;3241
35608694;aalhour/C-Sharp-Algorithms;3231
64290739;dodyg/practical-aspnetcore;3190
50605426;microsoft/MixedRealityToolkit-Unity;3168
45365298;aspnet/JavaScriptServices;3161
70584079;JasonGT/NorthwindTraders;3160
125612271;Unity-Technologies/EntityComponentSystemSamples;3149
23001353;dotnet-state-machine/stateless;3138
41822320;RicoSuter/NSwag;3133
70460785;Unity-Technologies/PostProcessing;3120
778834;Topshelf/Topshelf;3117
30941532;intel/acat;3098
19216825;xamarin/xamarin-forms-samples;3092
