id;name;stars
7600409;shadowsocks/shadowsocks-windows;45828
11620669;CodeHubApp/CodeHub;22372
49609581;PowerShell/PowerShell;16896
17620347;aspnet/AspNetCore;15178
15315789;Wox-launcher/Wox;15175
69662720;mxgmn/WaveFunctionCollapse;13377
38380854;0xd4d/dnSpy;12657
30092893;dotnet/coreclr;12292
29078997;dotnet/roslyn;12227
70104825;dotnet-architecture/eShopOnContainers;12168
1613345;StackExchange/Dapper;11749
13428264;ShareX/ShareX;11391
54086969;thangchung/awesome-dotnet-core;10801
64713769;NickeManarin/ScreenToGif;9245
1327739;icsharpcode/ILSpy;9245
16157746;aspnet/EntityFrameworkCore;8488
791611;mono/mono;8392
30474266;MaterialDesignInXAML/MaterialDesignInXamlToolkit;7944
2087064;SignalR/SignalR;7928
14964475;AvaloniaUI/Avalonia;7797
12201538;aspnetboilerplate/aspnetboilerplate;7775
3476845;JamesNK/Newtonsoft.Json;7459
738250;NancyFx/Nancy;6995
959908;OpenRA/OpenRA;6935
374228;restsharp/RestSharp;6921
9864166;App-vNext/Polly;6892
505380;AutoMapper/AutoMapper;6856
132021166;dotnet/machinelearning;6636
143460965;GoogleCloudPlatform/microservices-demo;6617
1135454;cefsharp/CefSharp;6556
2584777;MahApps/MahApps.Metro;6487
28239455;aspnet/AspNetCore.Docs;6423
1579990;MonoGame/MonoGame;6308
28232663;dotnet/orleans;6159
126486701;Unity-Technologies/UnityCsReference;6135
28647218;chocolatey/choco;6105
15126429;aspnet/Mvc;5761
7560589;JeffreySu/WeiXinMPSDK;5759
118322286;felixse/FluentTerminal;5634
46652227;IdentityServer/IdentityServer4;5600
11920542;HangfireIO/Hangfire;5333
142076747;microsoft/ailab;5167
715082;reactiveui/ReactiveUI;5123
75990888;dotnet/csharplang;5066
80058269;microsoft/VFSForGit;5027
443962;JeremySkinner/FluentValidation;4966
2465723;Sonarr/Sonarr;4841
161012019;jellyfin/jellyfin;4828
12191244;dotnet/BenchmarkDotNet;4803
104670977;dvf/blockchain;4742
1339922;ServiceStack/ServiceStack;4654
44897462;JustArchiNET/ArchiSteamFarm;4638
22636263;duplicati/duplicati;4615
88064357;QL-Win/QuickLook;4541
23315232;mbdavid/LiteDB;4530
62256097;ThreeMammals/Ocelot;4502
4213474;Humanizr/Humanizer;4484
85953;gitextensions/gitextensions;4458
46755185;bitwarden/server;4433
956732;hbons/SparkleShare;4344
59715467;lambci/docker-lambda;4320
199570071;2dust/v2rayN;4254
18586705;nopSolutions/nopCommerce;4247
5780416;NLog/NLog;4224
8835057;xupefei/Locale-Emulator;4194
4600400;Redth/PushSharp;4189
17873382;sschmid/Entitas-CSharp;4144
17369361;jbogard/MediatR;4136
32051890;microsoft/msbuild;4096
12576526;dotnet/reactive;4072
153711945;dotnet/wpf;4054
105649273;ElectronNET/Electron.NET;4030
54213490;xamarin/Xamarin.Forms;4010
22456440;ppy/osu;3964
98547658;shadowsocksr-backup/shadowsocksr-csharp;3943
17941520;neuecc/UniRx;3924
17748183;StackExchange/StackExchange.Redis;3902
13589461;opserver/Opserver;3877
143253020;microsoft/FASTER;3823
38632468;graphql-dotnet/graphql-dotnet;3818
52097767;HJLebbink/asm-dude;3784
42749841;Live-Charts/Live-Charts;3771
460848;mRemoteNG/mRemoteNG;3764
83380995;dotnet-architecture/eShopOnWeb;3743
11591313;reactiveui/refit;3716
21836148;OptiKey/OptiKey;3695
2419727;0xd4d/de4dot;3693
3964514;accord-net/framework;3666
20304390;HearthSim/Hearthstone-Deck-Tracker;3665
1208824;quartznet/quartznet;3628
24504893;brandonlw/Psychson;3624
5844474;EventStore/EventStore;3590
45195614;Jackett/Jackett;3587
77323220;Radarr/Radarr;3558
72174164;SixLabors/ImageSharp;3551
69673033;ardalis/CleanArchitecture;3529
15509440;akkadotnet/akka.net;3461
64753043;Perfare/AssetStudio;3460
500093;kohsuke/winsw;3458
31335300;PrismLibrary/Prism;3376
76445704;dotnetcore/CAP;3376
61403402;windows-toolkit/WindowsCommunityToolkit;3374
26884725;OrchardCMS/OrchardCore;3369
35291446;itinance/react-native-fs;3356
997491;sta/websocket-sharp;3319
46080325;PKISharp/win-acme;3312
153427475;Unity-Technologies/FPSSample;3296
8198511;serilog/serilog;3286
33200340;react-native-community/react-native-linear-gradient;3282
42753362;microsoft/VisualStudioUninstaller;3267
106386177;Jimmey-Jiang/Common.Utility;3235
3689718;moq/moq4;3229
76425236;EduardoPires/EquinoxProject;3226
35608694;aalhour/C-Sharp-Algorithms;3216
45365298;aspnet/JavaScriptServices;3161
64290739;dodyg/practical-aspnetcore;3157
50605426;microsoft/MixedRealityToolkit-Unity;3140
23001353;dotnet-state-machine/stateless;3122
778834;Topshelf/Topshelf;3106
70460785;Unity-Technologies/PostProcessing;3104
30941532;intel/acat;3097
41822320;RicoSuter/NSwag;3096
125612271;Unity-Technologies/EntityComponentSystemSamples;3092
70584079;JasonGT/NorthwindTraders;3090
19216825;xamarin/xamarin-forms-samples;3075
2870911;MvvmCross/MvvmCross;3065
22584823;TheBerkin/rant;3038
27251463;QuantConnect/Lean;3034
96299354;dotnetcore/Util;3000
14999623;jstedfast/MailKit;2999
56940351;ExtendRealityLtd/VRTK;2989
81283552;udacity/self-driving-car-sim;2987
10501638;AngleSharp/AngleSharp;2971
113807330;migueldeicaza/gui.cs;2956
743436;egametang/ET;2947
36613036;neo-project/neo;2925
21696509;GameFoundry/BansheeEngine;2904
388860;VsVim/VsVim;2894
96975695;JanKallman/EPPlus;2866
16139210;autofac/Autofac;2861
67071145;dotnet/standard;2839
32304121;domaindrivendev/Swashbuckle.AspNetCore;2838
21611723;quasar/QuasarRAT;2837
70128945;Accelerider/BaiduPanDownloadWinform;2824
10601208;umbraco/Umbraco-CMS;2815
4933039;Fody/Fody;2809
10750139;domaindrivendev/Swashbuckle;2807
79082378;migueldeicaza/TensorFlowSharp;2789
75505125;abpframework/abp;2769
78289422;ClusterM/hakchi2;2744
94545558;dotnetcore/surging;2743
26732453;louthy/language-ext;2707
20878802;protobuf-net/protobuf-net;2707
35290377;Azure/DotNetty;2698
35555089;KeenSoftwareHouse/SpaceEngineers;2669
20344662;aspnet/KestrelHttpServer;2610
27791908;googlevr/gvr-unity-sdk;2585
942613;elastic/elasticsearch-net;2567
453037;JoshClose/CsvHelper;2565
55284016;ferventdesert/Hawk;2543
15061404;playgameservices/play-games-plugin-for-unity;2539
38992233;sunkaixuan/SqlSugar;2494
18203752;yck1509/ConfuserEx;2478
36990723;bchavez/Bogus;2465
1939769;projectkudu/kudu;2461
42552143;dotnet/corert;2456
59361967;simplcommerce/SimplCommerce;2448
791299;mono/monodevelop;2446
193681686;NetchX/Netch;2439
62172778;Unity-Technologies/ScriptableRenderPipeline;2434
71159589;aspnet/SignalR;2422
1666245;praeclarum/sqlite-net;2419
153711830;dotnet/winforms;2410
15819024;Codeusa/Borderless-Gaming;2407
778828;MassTransit/MassTransit;2407
20094029;cake-build/cake;2404
8231466;MediaBrowser/Emby;2392
1835758;picoe/Eto;2355
542714;ravendb/ravendb;2349
9891249;xunit/xunit;2343
27703983;StockSharp/StockSharp;2319
88068120;randyrants/sharpkeys;2304
30830689;naudio/NAudio;2297
699689;mongodb/mongo-csharp-driver;2296
81770291;neuecc/MessagePack-CSharp;2295
145356;ninject/Ninject;2295
54357610;dotnetcore/DotnetSpider;2287
198071756;huiyadanli/RevokeMsgPatcher;2285
47679179;OpenLiveWriter/OpenLiveWriter;2282
1297957;Glimpse/Glimpse;2251
42456996;microsoft/Git-Credential-Manager-for-Windows;2248
32487763;microsoft/PTVS;2226
154741914;marian42/wavefunctioncollapse;2225
