id,name,stars,link
7600409,shadowsocks/shadowsocks-windows,51104,https://github.com/shadowsocks/shadowsocks-windows
49609581,PowerShell/PowerShell,23413,https://github.com/PowerShell/PowerShell
11620669,CodeHubApp/CodeHub,23088,https://github.com/CodeHubApp/CodeHub
17620347,dotnet/aspnetcore,20322,https://github.com/dotnet/aspnetcore
15315789,Wox-launcher/Wox,19108,https://github.com/Wox-launcher/Wox
38380854,dnSpy/dnSpy,16664,https://github.com/dnSpy/dnSpy
199570071,2dust/v2rayN,16367,https://github.com/2dust/v2rayN
70104825,dotnet-architecture/eShopOnContainers,16071,https://github.com/dotnet-architecture/eShopOnContainers
69662720,mxgmn/WaveFunctionCollapse,15535,https://github.com/mxgmn/WaveFunctionCollapse
13428264,ShareX/ShareX,14585,https://github.com/ShareX/ShareX
29078997,dotnet/roslyn,13743,https://github.com/dotnet/roslyn
54086969,thangchung/awesome-dotnet-core,13609,https://github.com/thangchung/awesome-dotnet-core
1613345,StackExchange/Dapper,13103,https://github.com/StackExchange/Dapper
64713769,NickeManarin/ScreenToGif,13039,https://github.com/NickeManarin/ScreenToGif
1327739,icsharpcode/ILSpy,11540,https://github.com/icsharpcode/ILSpy
14964475,AvaloniaUI/Avalonia,10171,https://github.com/AvaloniaUI/Avalonia
30474266,MaterialDesignInXAML/MaterialDesignInXamlToolkit,10013,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit
102904613,Unity-Technologies/ml-agents,9918,https://github.com/Unity-Technologies/ml-agents
16157746,dotnet/efcore,9755,https://github.com/dotnet/efcore
12201538,aspnetboilerplate/aspnetboilerplate,9096,https://github.com/aspnetboilerplate/aspnetboilerplate
791611,mono/mono,9039,https://github.com/mono/mono
959908,OpenRA/OpenRA,8806,https://github.com/OpenRA/OpenRA
161012019,jellyfin/jellyfin,8690,https://github.com/jellyfin/jellyfin
9864166,App-vNext/Polly,8378,https://github.com/App-vNext/Polly
28239455,dotnet/AspNetCore.Docs,8249,https://github.com/dotnet/AspNetCore.Docs
3476845,JamesNK/Newtonsoft.Json,8235,https://github.com/JamesNK/Newtonsoft.Json
2087064,SignalR/SignalR,8198,https://github.com/SignalR/SignalR
505380,AutoMapper/AutoMapper,7701,https://github.com/AutoMapper/AutoMapper
374228,restsharp/RestSharp,7581,https://github.com/restsharp/RestSharp
1135454,cefsharp/CefSharp,7559,https://github.com/cefsharp/CefSharp
46652227,IdentityServer/IdentityServer4,7425,https://github.com/IdentityServer/IdentityServer4
118322286,felixse/FluentTerminal,7410,https://github.com/felixse/FluentTerminal
88064357,QL-Win/QuickLook,7339,https://github.com/QL-Win/QuickLook
2584777,MahApps/MahApps.Metro,7335,https://github.com/MahApps/MahApps.Metro
132021166,dotnet/machinelearning,7302,https://github.com/dotnet/machinelearning
126486701,Unity-Technologies/UnityCsReference,7232,https://github.com/Unity-Technologies/UnityCsReference
1579990,MonoGame/MonoGame,7203,https://github.com/MonoGame/MonoGame
738250,NancyFx/Nancy,7148,https://github.com/NancyFx/Nancy
28232663,dotnet/orleans,7141,https://github.com/dotnet/orleans
28647218,chocolatey/choco,7093,https://github.com/chocolatey/choco
193681686,NetchX/Netch,6883,https://github.com/NetchX/Netch
198071756,huiyadanli/RevokeMsgPatcher,6640,https://github.com/huiyadanli/RevokeMsgPatcher
7560589,JeffreySu/WeiXinMPSDK,6557,https://github.com/JeffreySu/WeiXinMPSDK
46755185,bitwarden/server,6479,https://github.com/bitwarden/server
75990888,dotnet/csharplang,6468,https://github.com/dotnet/csharplang
