id;name;stars
7600409;shadowsocks/shadowsocks-windows;42408
11620669;CodeHubApp/CodeHub;21443
26295345;dotnet/corefx;17350
49609581;PowerShell/PowerShell;15601
15315789;Wox-launcher/Wox;14356
17620347;aspnet/AspNetCore;13663
69662720;mxgmn/WaveFunctionCollapse;12859
30092893;dotnet/coreclr;12025
29078997;dotnet/roslyn;11855
38380854;0xd4d/dnSpy;11613
1613345;StackExchange/Dapper;11268
70104825;dotnet-architecture/eShopOnContainers;11167
13428264;ShareX/ShareX;10778
54086969;thangchung/awesome-dotnet-core;9926
1327739;icsharpcode/ILSpy;8537
64713769;NickeManarin/ScreenToGif;8297
791611;mono/mono;8169
16157746;aspnet/EntityFrameworkCore;8068
2087064;SignalR/SignalR;7813
12201538;aspnetboilerplate/aspnetboilerplate;7363
3476845;JamesNK/Newtonsoft.Json;7215
30474266;MaterialDesignInXAML/MaterialDesignInXamlToolkit;7188
14964475;AvaloniaUI/Avalonia;7080
738250;NancyFx/Nancy;6887
102904613;Unity-Technologies/ml-agents;6714
959908;OpenRA/OpenRA;6699
374228;restsharp/RestSharp;6687
505380;AutoMapper/AutoMapper;6630
9864166;App-vNext/Polly;6475
132021166;dotnet/machinelearning;6377
1135454;cefsharp/CefSharp;6197
2584777;MahApps/MahApps.Metro;6191
1579990;MonoGame/MonoGame;6100
121637551;hoodiearon/w3-goto-world;6010
143460965;GoogleCloudPlatform/microservices-demo;5816
28239455;aspnet/AspNetCore.Docs;5815
28647218;chocolatey/choco;5782
126486701;Unity-Technologies/UnityCsReference;5781
15126429;aspnet/Mvc;5764
28232663;dotnet/orleans;5398
7560589;JeffreySu/WeiXinMPSDK;5386
11920542;HangfireIO/Hangfire;5060
46652227;IdentityServer/IdentityServer4;5050
142076747;microsoft/ailab;5014
118322286;felixse/FluentTerminal;4963
80058269;microsoft/VFSForGit;4889
715082;reactiveui/ReactiveUI;4850
75990888;dotnet/csharplang;4722
443962;JeremySkinner/FluentValidation;4689
1339922;ServiceStack/ServiceStack;4592
2465723;Sonarr/Sonarr;4576
104670977;dvf/blockchain;4495
12191244;dotnet/BenchmarkDotNet;4428
44897462;JustArchiNET/ArchiSteamFarm;4426
22636263;duplicati/duplicati;4340
956732;hbons/SparkleShare;4285
4213474;Humanizr/Humanizer;4261
23315232;mbdavid/LiteDB;4236
85953;gitextensions/gitextensions;4200
4600400;Redth/PushSharp;4155
62256097;ThreeMammals/Ocelot;4118
88064357;QL-Win/QuickLook;4062
5780416;NLog/NLog;4036
32051890;microsoft/msbuild;4017
17873382;sschmid/Entitas-CSharp;3916
18586705;nopSolutions/nopCommerce;3906
8835057;xupefei/Locale-Emulator;3875
12576526;dotnet/reactive;3856
13589461;opserver/Opserver;3819
153711945;dotnet/wpf;3804
52097767;HJLebbink/asm-dude;3759
46755185;bitwarden/server;3742
17369361;jbogard/MediatR;3741
17748183;StackExchange/StackExchange.Redis;3732
161012019;jellyfin/jellyfin;3731
17941520;neuecc/UniRx;3704
54213490;xamarin/Xamarin.Forms;3680
105649273;ElectronNET/Electron.NET;3676
21836148;OptiKey/OptiKey;3666
143253020;microsoft/FASTER;3661
20304390;HearthSim/Hearthstone-Deck-Tracker;3635
41032527;Nummer/Destroy-Windows-10-Spying;3618
98547658;shadowsocksr-backup/shadowsocksr-csharp;3604
38632468;graphql-dotnet/graphql-dotnet;3596
24504893;brandonlw/Psychson;3594
3964514;accord-net/framework;3546
42749841;Live-Charts/Live-Charts;3535
460848;mRemoteNG/mRemoteNG;3521
11591313;reactiveui/refit;3517
22456440;ppy/osu;3508
1208824;quartznet/quartznet;3439
5844474;EventStore/EventStore;3439
2419727;0xd4d/de4dot;3431
43568107;dotnet/cli;3374
15509440;akkadotnet/akka.net;3358
72174164;SixLabors/ImageSharp;3325
77323220;Radarr/Radarr;3300
83380995;dotnet-architecture/eShopOnWeb;3274
61403402;windows-toolkit/WindowsCommunityToolkit;3234
45195614;Jackett/Jackett;3204
31335300;PrismLibrary/Prism;3187
35291446;itinance/react-native-fs;3186
42753362;microsoft/VisualStudioUninstaller;3174
45365298;aspnet/JavaScriptServices;3173
997491;sta/websocket-sharp;3157
46080325;PKISharp/win-acme;3139
33200340;react-native-community/react-native-linear-gradient;3135
76445704;dotnetcore/CAP;3122
3689718;moq/moq4;3100
64753043;Perfare/AssetStudio;3094
153427475;Unity-Technologies/FPSSample;3094
30941532;intel/acat;3091
8198511;serilog/serilog;3027
26884725;OrchardCMS/OrchardCore;3021
500093;kohsuke/winsw;3013
22584823;TheBerkin/rant;3007
778834;Topshelf/Topshelf;2999
70460785;Unity-Technologies/PostProcessing;2993
2870911;MvvmCross/MvvmCross;2981
35608694;aalhour/C-Sharp-Algorithms;2970
19216825;xamarin/xamarin-forms-samples;2962
64290739;dodyg/practical-aspnetcore;2954
50605426;microsoft/MixedRealityToolkit-Unity;2940
23001353;dotnet-state-machine/stateless;2927
76425236;EduardoPires/EquinoxProject;2897
81283552;udacity/self-driving-car-sim;2890
36613036;neo-project/neo;2874
56940351;ExtendRealityLtd/VRTK;2870
388860;VsVim/VsVim;2841
14999623;jstedfast/MailKit;2836
96299354;dotnetcore/Util;2828
70128945;Accelerider/BaiduPanDownloadWinform;2820
41822320;RicoSuter/NSwag;2813
21696509;BearishSun/BansheeEngine;2811
106386177;Jimmey-Jiang/Common.Utility;2799
10501638;AngleSharp/AngleSharp;2782
125612271;Unity-Technologies/EntityComponentSystemSamples;2776
27251463;QuantConnect/Lean;2768
37357499;sublimehq/Packages;2755
16139210;autofac/Autofac;2729
79082378;migueldeicaza/TensorFlowSharp;2728
4933039;Fody/Fody;2728
